team,rating,matches,last_match
Azerbaijan,1353.4,257,2026-06-09
Central African Republic,1352.5,97,2026-06-09
Chagos Islands,1351.2,16,2019-12-29
Saint Helena,1351.0,8,2023-07-13
Micronesia,1346.4,4,2003-07-07
Singapore,1343.6,302,2026-06-05
Yemen,1341.5,203,2025-11-26
Saint Martin,1335.1,64,2026-03-29
Sark,1332.2,4,2003-07-03
Congo,1330.2,167,2025-10-14
Sint Maarten,1327.4,39,2026-03-30
Cyprus,1324.5,231,2026-06-07
Belize,1313.6,112,2026-03-30
Eswatini,1312.4,209,2025-10-13
Grenada,1308.4,164,2026-05-16
Malta,1307.5,245,2026-06-05
Saint Pierre and Miquelon,1303.0,7,2012-09-28
Saint Kitts and Nevis,1291.3,162,2026-03-30
Kiribati,1284.8,8,2011-09-05
Latvia,1283.4,268,2026-06-09
Lithuania,1283.3,251,2026-06-09
Samoa,1282.4,49,2024-11-18
Darfur,1278.7,7,2014-06-07
Moldova,1276.9,251,2026-06-09
India,1276.3,234,2026-06-09
South Sudan,1274.8,78,2025-11-25
Tibet,1270.1,21,2025-07-03
Montserrat,1261.1,56,2025-06-10
Chad,1247.0,90,2025-11-17
Falkland Islands,1241.1,33,2023-07-13
Aruba,1239.6,82,2026-06-06
Saint Lucia,1239.4,130,2026-03-27
Tuvalu,1236.5,34,2023-11-30
Mauritius,1228.0,166,2025-10-13
Frøya,1221.9,27,2025-07-17
Eritrea,1219.1,59,2019-09-10
Afghanistan,1211.0,126,2026-06-10
Alderney,1194.2,47,2022-04-23
Dominica,1194.0,112,2026-03-30
Bangladesh,1189.7,181,2026-06-05
Myanmar,1188.0,212,2026-06-09
São Tomé and Príncipe,1183.8,56,2025-10-13
Cook Islands,1182.3,38,2024-09-06
Pakistan,1178.8,121,2026-06-10
Bonaire,1155.5,44,2026-06-06
Barbados,1154.9,170,2026-03-29
Cambodia,1153.6,176,2026-06-09
Nepal,1151.0,170,2025-11-18
Antigua and Barbuda,1138.3,152,2025-11-18
Tonga,1117.8,47,2024-09-09
Taiwan,1115.3,134,2025-11-18
Gibraltar,1106.4,141,2026-06-06
Andorra,1100.6,210,2026-06-07
Djibouti,1094.8,88,2025-11-26
Sri Lanka,1088.1,165,2025-11-18
Somalia,1086.9,79,2025-11-26
Cayman Islands,1072.6,79,2026-06-06
British Virgin Islands,1063.4,95,2026-06-06
Maldives,1058.6,184,2026-06-01
Mongolia,1051.3,90,2026-06-05
Guam,1042.1,96,2026-06-06
Northern Mariana Islands,1040.2,27,2024-04-07
Turks and Caicos Islands,1029.2,50,2025-08-16
Seychelles,1023.2,135,2025-10-14
United States Virgin Islands,1019.3,75,2026-03-28
Laos,1018.6,158,2025-11-19
American Samoa,994.6,41,2026-03-28
Brunei,986.5,80,2025-11-18
Bahamas,981.9,60,2026-03-29
Timor-Leste,977.9,86,2025-11-18
Anguilla,950.7,73,2026-03-29
Bhutan,937.5,98,2026-06-04
Liechtenstein,936.1,216,2026-06-07
Macau,922.9,100,2026-03-29
San Marino,883.4,180,2026-06-09
